Name                                  ,Code     ,Type ,SubBasin ,City                ,State     ,Responsible  ,Latitude ,Longitude ,StartDate  ,EndDate    ,NYD ,MD   ,N_YWOMD ,YWMD
USINA BATISTA                         ,02347049 ,   2 ,      64 ,PILAR DO SUL        ,SÃO PAULO ,DAEE-SP      ,-23.8333 ,-47.65    ,1937/01/01 ,2014/11/30 , 78 ,11.1 ,     66 , 15.4
SÃO MIGUEL ARCANJO                    ,02347050 ,   2 ,      64 ,SÃO MIGUEL ARCANJO  ,SÃO PAULO ,DAEE-SP      ,-23.8667 ,-47.9997  ,1936/11/13 ,2014/12/31 , 79 , 1.9 ,     62 , 21.5
BAIRRO RIBEIRÃO BONITO                ,02347147 ,   2 ,      64 ,PIEDADE             ,SÃO PAULO ,DAEE-SP      ,-23.85   ,-47.45    ,1972/08/01 ,2001/03/15 , 30 , 0.0 ,     27 , 10.0
FAZENDA MOQUEM                        ,02347148 ,   2 ,      64 ,PILAR DO SUL        ,SÃO PAULO ,DAEE-SP      ,-23.9333 ,-47.7167  ,1972/09/01 ,2001/01/31 , 30 , 1.2 ,     26 , 13.3
SANTA CRUZ DOS MOTAS                  ,02347149 ,   2 ,      64 ,SÃO MIGUEL ARCANJO  ,SÃO PAULO ,DAEE-SP      ,-23.7333 ,-47.9333  ,1972/08/01 ,2014/11/30 , 43 , 0.2 ,     39 ,  9.3
ALEGRE                                ,02347151 ,   2 ,      64 ,PILAR DO SUL        ,SÃO PAULO ,DAEE-SP      ,-23.9333 ,-47.8333  ,1972/10/25 ,1999/12/31 , 28 , 0.2 ,     24 , 14.3
UHE JURUMIRIM BREJAUVA                ,02347192 ,   2 ,      64 ,SÃO MIGUEL ARCANJO  ,SÃO PAULO ,PARANAPANEMA ,-23.7856 ,-47.6356  ,2012/01/01 ,2012/12/31 ,  1 , 0.0 ,      1 ,  0.0
SERRINHA                              ,02348013 ,   2 ,      64 ,PARANAPANEMA        ,SÃO PAULO ,DAEE-SP      ,-23.3    ,-48.8833  ,1971/05/01 ,1998/09/30 , 28 , 1.4 ,     17 , 39.3
GUAREI                                ,02348014 ,   2 ,      64 ,GUAREI              ,SÃO PAULO ,DAEE-SP      ,-23.3667 ,-48.1833  ,1959/02/08 ,2014/03/31 , 56 , 4.2 ,     49 , 12.5
PARANAPANEMA                          ,02348015 ,   2 ,      64 ,PARANAPANEMA        ,SÃO PAULO ,DAEE-SP      ,-23.3833 ,-48.7333  ,1952/06/01 ,2001/01/31 , 50 ,33.1 ,     27 , 46.0
FAZENDA ATERRADINHO                   ,02348016 ,   2 ,      64 ,ANGATUBA            ,SÃO PAULO ,DAEE-SP      ,-23.45   ,-48.5833  ,1939/10/01 ,2003/03/31 , 65 , 0.1 ,     61 ,  6.2
ANGATUBA                              ,02348017 ,   2 ,      64 ,ANGATUBA            ,SÃO PAULO ,DAEE-SP      ,-23.4833 ,-48.4167  ,1939/09/01 ,2014/12/31 , 76 , 0.6 ,     64 , 15.8
BOM RETIRO                            ,02348019 ,   2 ,      64 ,ANGATUBA            ,SÃO PAULO ,DAEE-SP      ,-23.55   ,-48.3     ,1936/11/01 ,1997/01/31 , 62 ,27.7 ,     43 , 30.6
RECHA                                 ,02348020 ,   2 ,      64 ,ITAPETININGA        ,SÃO PAULO ,DAEE-SP      ,-23.6    ,-48.3167  ,1966/09/01 ,1998/12/31 , 33 , 2.8 ,     24 , 27.3
