;0
0;3.631882
86400;3.373788
172800;3.075087
259200;2.951205
345600;3.048763
432000;3.2448
518400;3.83395
604800;4.021919
691200;3.654067
777600;3.763704
864000;3.792119
950400;3.42362
1036800;3.26054
1123200;3.295668
1209600;4.036122
1296000;5.003071
1382400;5.560254
1468800;5.83914
1555200;5.855394
1641600;5.733537
1728000;5.797374
1814400;6.105103
1900800;6.240029
1987200;6.087635
2073600;5.919349
2160000;5.987217
2246400;5.968601
2332800;5.744013
2419200;5.346376
2505600;5.001008
2592000;4.694054
2678400;4.313761
2764800;3.937949
2851200;3.709417
2937600;3.574294
3024000;3.43266
3110400;3.307263
3196800;3.217349
3283200;3.189718
3369600;3.59676
3456000;3.993782
3542400;4.452777
3628800;5.208109
3715200;6.002276
3801600;5.836491
3888000;5.461587
3974400;4.9104
4060800;4.315608
4147200;3.909455
4233600;3.971552
4320000;4.620402
4406400;4.967035
4492800;4.908414
4579200;4.591151
4665600;4.372784
4752000;4.367424
4838400;4.441613
4924800;4.505044
5011200;4.355954
5097600;4.158854
5184000;3.870573
5270400;3.697841
5356800;3.558056
5443200;3.424955
5529600;3.320498
5616000;3.222791
5702400;3.191128
5788800;3.153384
5875200;3.27054
5961600;3.734561
6048000;3.702587
6134400;3.564673
6220800;3.432068
6307200;3.743558
6393600;4.275193
6480000;4.619821
6566400;4.594656
6652800;3.911458
6739200;3.430439
6825600;3.233965
6912000;3.178898
6998400;3.195822
7084800;3.23195
7171200;3.215948
7257600;3.191128
7344000;3.102843
7430400;3.040979
7516800;2.983602
7603200;2.922224
7689600;2.882915
7776000;2.934575
7862400;2.971731
7948800;2.869386
8035200;2.74967
8121600;2.745825
8208000;2.769707
8294400;2.769012
8380800;2.776652
8467200;2.909332
8553600;2.996094
8640000;2.983931
8726400;3.226829
8812800;3.093077
8899200;3.028135
8985600;2.988702
9072000;2.872265
9158400;2.764838
9244800;2.693182
9331200;2.627732
9417600;2.695486
9504000;2.916202
9590400;3.071383
9676800;3.025366
9763200;2.976022
9849600;2.872942
9936000;3.011492
10022400;3.400266
10108800;3.702587
10195200;3.855606
10281600;4.102169
10368000;4.158092
10454400;3.876089
10540800;3.619826
10627200;3.509133
10713600;3.398924
10800000;3.317611
10886400;3.304214
10972800;3.106359
11059200;3.036756
11145600;2.952698
11232000;2.90564
11318400;2.93124
11404800;2.943231
11491200;2.916704
11577600;3.022106
11664000;3.347602
11750400;3.641362
11836800;3.784997
11923200;3.6504
12009600;3.27791
12096000;3.108436
12182400;2.995438
12268800;3.002654
12355200;2.927236
12441600;2.982614
12528000;3.116412
12614400;3.090993
12700800;2.943231
12787200;2.862604
12873600;2.790159
12960000;2.763446
13046400;2.817204
13132800;3.000851
13219200;3.124692
13305600;3.052973
13392000;3.302994
13478400;4.34103
13564800;5.132073
13651200;5.49605
13737600;5.638173
13824000;5.683224
13910400;5.52754
13996800;5.222969
14083200;5.017812
14169600;4.634216
14256000;4.237958
14342400;3.967331
14428800;3.792393
14515200;3.72971
14601600;5.633973
14688000;6.406137
14774400;6.755705
14860800;6.999955
14947200;7.052349
15033600;6.888359
15120000;6.545813
15206400;6.043213
15292800;5.599581
15379200;5.287421
15465600;5.036185
15552000;4.832318
15638400;4.680391
15724800;4.474677
15811200;4.219677
15897600;4.023876
15984000;3.907452
16070400;3.895146
16156800;4.537364
16243200;5.241232
16329600;5.613713
16416000;5.609006
16502400;5.154744
16588800;4.777019
16675200;4.954133
16761600;5.029383
16848000;4.677287
16934400;4.382516
17020800;4.366936
17107200;4.624469
17193600;4.558449
17280000;4.261153
17366400;4.0996
17452800;3.999947
17539200;3.887774
17625600;3.770583
17712000;3.705376
17798400;3.656463
17884800;3.603606
17971200;3.575585
18057600;3.559927
18144000;3.573721
18230400;3.553015
18316800;3.571855
18403200;3.643341
18489600;3.601468
18576000;3.509861
18662400;3.427772
18748800;3.362821
18835200;3.359511
18921600;3.355595
19008000;3.317611
19094400;3.284041
19180800;3.223413
19267200;3.192223
19353600;3.147535
19440000;3.117369
19526400;3.070899
19612800;3.036106
19699200;3.033505
19785600;3.012146
19872000;3.01329
19958400;3.028624
20044800;3.023899
20131200;2.975362
20217600;2.959163
20304000;2.957341
20390400;2.9424
20476800;2.913354
20563200;2.880719
20649600;2.876663
20736000;2.880719
20822400;2.878185
20908800;2.870741
20995200;2.820293
21081600;2.761008
21168000;2.711752
21254400;2.680574
21340800;2.672026
21427200;2.735144
21513600;2.757698
21600000;2.73935
21686400;2.683241
21772800;2.619064
21859200;2.553949
21945600;2.502061
22032000;2.474333
22118400;2.455477
22204800;2.507842
22291200;2.600939
22377600;2.525316
22464000;2.466614
22550400;2.519563
22636800;2.541045
22723200;2.613273
22809600;2.679328
22896000;2.672739
22982400;2.657916
23068800;2.656663
23155200;2.870741
23241600;3.206443
23328000;3.090993
23414400;2.94722
23500800;2.809816
23587200;2.615989
23673600;2.529023
23760000;2.472828
23846400;2.42853
23932800;2.404832
24019200;2.385027
24105600;2.357345
24192000;2.309011
24278400;2.264189
24364800;2.26359
24451200;2.276742
24537600;2.330031
24624000;2.765534
24710400;3.536121
24796800;3.76453
24883200;3.341409
24969600;2.976022
25056000;2.93124
25142400;2.790677
25228800;2.660957
25315200;2.68786
25401600;2.85343
25488000;3.189092
25574400;3.954382
25660800;4.274076
25747200;4.000864
25833600;3.72971
25920000;3.636129
26006400;3.592476
26092800;3.240315
26179200;3.096442
26265600;3.188465
26352000;3.074443
26438400;3.143419
26524800;3.167577
26611200;3.052002
26697600;2.964129
26784000;2.874803
26870400;2.840823
26956800;2.885446
27043200;3.176385
27129600;3.685676
27216000;3.626638
27302400;3.342769
27388800;3.256225
27475200;3.387272
27561600;3.156858
27648000;2.942067
27734400;2.807923
27820800;2.759615
27907200;2.716864
27993600;2.670778
28080000;2.651289
28166400;2.560383
28252800;2.4407
28339200;2.397731
28425600;2.575964
28512000;2.85445
28598400;3.079753
28684800;3.066385
28771200;2.861586
28857600;2.68857
28944000;2.741977
29030400;2.899929
29116800;3.150223
29203200;2.998227
29289600;2.829203
29376000;2.706279
29462400;2.580717
29548800;2.527355
29635200;2.450937
29721600;2.42853
29808000;2.535687
29894400;2.568274
29980800;2.761531
30067200;3.099003
30153600;3.553303
30240000;3.907986
30326400;3.810832
30412800;3.534819
30499200;3.310918
30585600;3.333389
30672000;3.358156
30758400;3.418424
30844800;3.754332
30931200;3.518002
31017600;3.207847
