;0
0;17.581
86400;15.81
172800;13.887
259200;13.129
345600;13.724
432000;14.963
518400;19.039
604800;20.452
691200;17.738
777600;18.525
864000;18.732
950400;16.144
1036800;15.065
1123200;15.294
1209600;20.561
1296000;28.728
1382400;34.112
1468800;36.996
1555200;37.168
1641600;35.889
1728000;36.556
1814400;39.865
1900800;41.365
1987200;39.673
2073600;37.849
2160000;38.579
2246400;38.378
2332800;35.998
2419200;31.986
2505600;28.709
2592000;25.957
2678400;22.755
2764800;19.814
2851200;18.133
2937600;17.177
3024000;16.205
3110400;15.37
3196800;14.786
3283200;14.609
3369600;17.334
3456000;20.237
3542400;23.899
3628800;30.651
3715200;38.742
3801600;36.968
3888000;33.122
3974400;27.881
4060800;22.77
4147200;19.6
4233600;20.068
4320000;25.319
4406400;28.397
4492800;27.863
4579200;25.068
4665600;23.237
4752000;23.193
4838400;23.806
4924800;24.337
5011200;23.099
5097600;21.516
5184000;19.31
5270400;18.05
5356800;17.064
5443200;16.153
5529600;15.457
5616000;14.821
5702400;14.618
5788800;14.378
5875200;15.13
5961600;18.314
6048000;18.084
6134400;17.11
6220800;16.201
6307200;18.379
6393600;22.443
6480000;25.314
6566400;25.098
6652800;19.615
6739200;16.19
6825600;14.893
6912000;14.54
6998400;14.648
7084800;14.88
7171200;14.777
7257600;14.618
7344000;14.06
7430400;13.676
7516800;13.325
7603200;12.955
7689600;12.721
7776000;13.029
7862400;13.253
7948800;12.641
8035200;11.945
8121600;11.923
8208000;12.06
8294400;12.056
8380800;12.1
8467200;12.878
8553600;13.401
8640000;13.327
8726400;14.847
8812800;13.999
8899200;13.597
8985600;13.356
9072000;12.658
9158400;12.032
9244800;11.624
9331200;11.258
9417600;11.637
9504000;12.919
9590400;13.864
9676800;13.58
9763200;13.279
9849600;12.662
9936000;13.495
10022400;15.987
10108800;18.084
10195200;19.199
10281600;21.072
10368000;21.51
10454400;19.351
10540800;17.496
10627200;16.726
10713600;15.978
10800000;15.438
10886400;15.35
10972800;14.082
11059200;13.65
11145600;13.138
11232000;12.856
11318400;13.009
11404800;13.081
11491200;12.922
11577600;13.56
11664000;15.636
11750400;17.648
11836800;18.68
11923200;17.712
12009600;15.178
12096000;14.095
12182400;13.397
12268800;13.441
12355200;12.985
12441600;13.319
12528000;14.145
12614400;13.986
12700800;13.081
12787200;12.601
12873600;12.178
12960000;12.024
13046400;12.335
13132800;13.43
13219200;14.197
13305600;13.75
13392000;15.342
13478400;22.977
13564800;29.93
13651200;33.466
13737600;34.905
13824000;35.368
13910400;33.782
13996800;30.793
14083200;28.864
14169600;25.438
14256000;22.144
14342400;20.036
14428800;18.734
14515200;18.279
14601600;34.862
14688000;43.253
14774400;47.376
14860800;50.378
14947200;51.035
15033600;48.994
15120000;44.876
15206400;39.187
15292800;34.511
15379200;31.413
15465600;29.034
15552000;27.178
15638400;25.838
15724800;24.082
15811200;21.998
15897600;20.467
15984000;19.585
16070400;19.493
16156800;24.61
16243200;30.968
16329600;34.655
16416000;34.607
16502400;30.144
16588800;26.686
16675200;28.279
16761600;28.971
16848000;25.811
16934400;23.317
17020800;23.189
17107200;25.354
17193600;24.789
17280000;22.33
17366400;21.052
17452800;20.284
17539200;19.438
17625600;18.575
17712000;18.104
17798400;17.755
17884800;17.382
17971200;17.186
18057600;17.077
18144000;17.173
18230400;17.029
18316800;17.16
18403200;17.662
18489600;17.367
18576000;16.731
18662400;16.172
18748800;15.737
18835200;15.715
18921600;15.689
19008000;15.438
19094400;15.218
19180800;14.825
19267200;14.625
19353600;14.341
19440000;14.151
19526400;13.861
19612800;13.646
19699200;13.63
19785600;13.499
19872000;13.506
19958400;13.6
20044800;13.571
20131200;13.275
20217600;13.177
20304000;13.166
20390400;13.076
20476800;12.902
20563200;12.708
20649600;12.684
20736000;12.708
20822400;12.693
20908800;12.649
20995200;12.353
21081600;12.01
21168000;11.729
21254400;11.553
21340800;11.505
21427200;11.862
21513600;11.991
21600000;11.886
21686400;11.568
21772800;11.21
21859200;10.853
21945600;10.573
22032000;10.425
22118400;10.325
22204800;10.604
22291200;11.11
22377600;10.698
22464000;10.384
22550400;10.667
22636800;10.783
22723200;11.178
22809600;11.546
22896000;11.509
22982400;11.426
23068800;11.419
23155200;12.649
23241600;14.716
23328000;13.986
23414400;13.105
23500800;12.292
23587200;11.193
23673600;10.718
23760000;10.417
23846400;10.183
23932800;10.059
24019200;9.956
24105600;9.813
24192000;9.566
24278400;9.34
24364800;9.337
24451200;9.403
24537600;9.673
24624000;12.036
24710400;16.912
24796800;18.531
24883200;15.595
24969600;13.279
25056000;13.009
25142400;12.181
25228800;11.443
25315200;11.594
25401600;12.547
25488000;14.605
25574400;19.938
25660800;22.434
25747200;20.291
25833600;18.279
25920000;17.611
26006400;17.304
26092800;14.934
26179200;14.02
26265600;14.601
26352000;13.883
26438400;14.315
26524800;14.468
26611200;13.744
26697600;13.207
26784000;12.673
26870400;12.473
26956800;12.736
27043200;14.524
27129600;17.963
27216000;17.544
27302400;15.604
27388800;15.037
27475200;15.9
27561600;14.4
27648000;13.074
27734400;12.281
27820800;12.002
27907200;11.758
27993600;11.498
28080000;11.389
28166400;10.888
28252800;10.247
28339200;10.022
28425600;10.973
28512000;12.553
28598400;13.916
28684800;13.833
28771200;12.595
28857600;11.598
28944000;11.901
29030400;12.822
29116800;14.358
29203200;13.414
29289600;12.405
29376000;11.698
29462400;10.999
29548800;10.709
29635200;10.301
29721600;10.183
29808000;10.754
29894400;10.931
29980800;12.013
30067200;14.036
30153600;17.031
30240000;19.589
30326400;18.869
30412800;16.903
30499200;15.394
30585600;15.542
30672000;15.706
30758400;16.109
30844800;18.457
30931200;16.787
31017600;14.725
31104000;14.88
31190400;14.062
31276800;15.834
31363200;18.963
31449600;17.524
31536000;18
